,nom,id,france,latitude,longitude,weather,nice,T_min,T_max,precipitation_sum,exp_precipitation,nice2
20,Marseille,76469,True,43.2961743,5.3699525,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            55                      21.7   
1  2025-10-31             3                      21.2   
2  2025-11-01            51                      20.0   
3  2025-11-02            61                      18.7   
4  2025-11-03             2                      15.2   
5  2025-11-04             3                      16.3   
6  2025-11-05            61                      15.7   

   apparent_temperature_min  precipitation_sum        poi  
0                      17.1                2.5  Marseille  
1                      15.8                0.0  Marseille  
2                      16.2                0.1  Marseille  
3                      10.3                3.3  Marseille  
4                       7.8                0.0  Marseille  
5                      12.2                0.0  Marseille  
6                      14.7                0.4  Marseille  ",33.714285714285715,13.442857142857145,18.4,6.300000000000001,0.5325918010068972,8.479622317459812
21,Aix en Provence,70279,True,43.5298424,5.4474738,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      20.9   
1  2025-10-31            80                      21.1   
2  2025-11-01             3                      18.8   
3  2025-11-02            80                      18.7   
4  2025-11-03             1                      14.4   
5  2025-11-04             3                      15.2   
6  2025-11-05            61                      14.8   

   apparent_temperature_min  precipitation_sum              poi  
0                      14.4                3.3  Aix en Provence  
1                      14.3                1.2  Aix en Provence  
2                      14.1                0.1  Aix en Provence  
3                       9.4                1.6  Aix en Provence  
4                       7.0                0.0  Aix en Provence  
5                       8.3                0.0  Aix en Provence  
6                      13.0                0.0  Aix en Provence  ",41.285714285714285,11.5,17.7,6.199999999999999,0.5379444375946746,7.853988788882249
22,Avignon,102478,True,43.9492493,4.8059012,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      18.6   
1  2025-10-31             3                      21.0   
2  2025-11-01             3                      20.1   
3  2025-11-02            80                      20.3   
4  2025-11-03             1                      10.3   
5  2025-11-04             3                      17.2   
6  2025-11-05            61                      16.5   

   apparent_temperature_min  precipitation_sum      poi  
0                      14.3                2.0  Avignon  
1                      14.0                0.0  Avignon  
2                      16.0                0.2  Avignon  
3                      10.6                3.3  Avignon  
4                       7.2                0.0  Avignon  
5                       6.0                0.1  Avignon  
6                      13.5                1.8  Avignon  ",30.285714285714285,11.657142857142857,17.714285714285715,7.3999999999999995,0.4771139155210344,7.006758645080334
23,Uzes,380050,True,44.0121279,4.4196718,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      18.0   
1  2025-10-31             3                      19.7   
2  2025-11-01             3                      18.9   
3  2025-11-02            80                      18.8   
4  2025-11-03             1                      11.0   
5  2025-11-04            80                      15.5   
6  2025-11-05            80                      15.5   

   apparent_temperature_min  precipitation_sum   poi  
0                      11.7                0.4  Uzes  
1                      12.1                0.0  Uzes  
2                      15.1                0.4  Uzes  
3                       8.5                2.1  Uzes  
4                       4.8                0.0  Uzes  
5                       3.4                0.7  Uzes  
6                      12.7                7.1  Uzes  ",44.0,9.757142857142856,16.771428571428572,10.7,0.34300851741870675,4.549762977475274
24,Nimes,378685,True,43.8374249,4.3600687,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      19.0   
1  2025-10-31             3                      20.3   
2  2025-11-01            80                      19.2   
3  2025-11-02            61                      19.4   
4  2025-11-03             1                      12.2   
5  2025-11-04             3                      16.3   
6  2025-11-05            61                      16.2   

   apparent_temperature_min  precipitation_sum    poi  
0                      13.3                1.3  Nimes  
1                      12.6                0.0  Nimes  
2                      15.6                1.5  Nimes  
3                       9.6                0.9  Nimes  
4                       6.8                0.0  Nimes  
5                       5.0                0.6  Nimes  
6                      13.4                3.2  Nimes  ",38.57142857142857,10.9,17.514285714285716,7.5,0.4723665527410147,6.710979095727702
25,Aigues Mortes,272287,True,43.5661521,4.19154,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      19.1   
1  2025-10-31             3                      19.5   
2  2025-11-01            80                      17.9   
3  2025-11-02            61                      18.4   
4  2025-11-03             2                      13.7   
5  2025-11-04            80                      15.9   
6  2025-11-05            80                      15.0   

   apparent_temperature_min  precipitation_sum            poi  
0                      13.4                0.4  Aigues Mortes  
1                      13.1                0.2  Aigues Mortes  
2                      16.3                0.6  Aigues Mortes  
3                      10.5                0.9  Aigues Mortes  
4                       7.8                0.0  Aigues Mortes  
5                       7.4                0.6  Aigues Mortes  
6                      13.8                6.8  Aigues Mortes  ",52.42857142857143,11.757142857142856,17.071428571428573,9.5,0.38674102345450123,5.574595609508454
26,Saintes Maries de la mer,414459,True,43.4515922,4.4277202,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            53                      16.9   
1  2025-10-31             3                      18.1   
2  2025-11-01            51                      17.1   
3  2025-11-02            53                      17.9   
4  2025-11-03             3                      14.1   
5  2025-11-04            80                      15.9   
6  2025-11-05            80                      15.0   

   apparent_temperature_min  precipitation_sum                       poi  
0                      12.4                1.0  Saintes Maries de la mer  
1                      12.2                0.0  Saintes Maries de la mer  
2                      14.7                0.7  Saintes Maries de la mer  
3                       8.2                3.4  Saintes Maries de la mer  
4                       7.7                0.0  Saintes Maries de la mer  
5                       7.4                0.6  Saintes Maries de la mer  
6                      13.8                6.8  Saintes Maries de la mer  ",46.142857142857146,10.914285714285715,16.428571428571427,12.5,0.2865047968601901,3.9169298656457414
27,Collioure,18409,True,42.52505,3.0831554,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      19.1   
1  2025-10-31             3                      21.6   
2  2025-11-01             3                      22.1   
3  2025-11-02            61                      16.3   
4  2025-11-03             2                      15.7   
5  2025-11-04             3                      19.6   
6  2025-11-05            61                      17.7   

   apparent_temperature_min  precipitation_sum        poi  
0                      13.1                0.0  Collioure  
1                      13.5                0.0  Collioure  
2                      12.4                0.0  Collioure  
3                       5.7                6.1  Collioure  
4                       5.6                0.0  Collioure  
5                       9.3                0.0  Collioure  
6                      15.0                0.6  Collioure  ",19.428571428571427,10.657142857142858,18.87142857142857,6.699999999999999,0.5117085777865426,7.5550116448913105
28,Carcassonne,37774,True,43.2130358,2.3491069,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      18.8   
1  2025-10-31             3                      16.9   
2  2025-11-01             3                      21.1   
3  2025-11-02            63                      18.3   
4  2025-11-03             2                      13.6   
5  2025-11-04             3                      14.9   
6  2025-11-05            80                      16.4   

   apparent_temperature_min  precipitation_sum          poi  
0                      11.3                0.0  Carcassonne  
1                       9.3                0.0  Carcassonne  
2                      14.0                0.0  Carcassonne  
3                       6.0                7.8  Carcassonne  
4                       6.1                0.0  Carcassonne  
5                       6.3                0.0  Carcassonne  
6                      13.9                4.1  Carcassonne  ",22.428571428571427,9.557142857142859,17.142857142857142,11.899999999999999,0.3042212640667041,4.0613538752905
29,Ariege,7439,True,42.9455368,1.4065544,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            55                      11.3   
1  2025-10-31             3                      13.0   
2  2025-11-01             3                      15.4   
3  2025-11-02            71                       8.2   
4  2025-11-03            71                      10.4   
5  2025-11-04             3                      19.6   
6  2025-11-05             3                      18.4   

   apparent_temperature_min  precipitation_sum     poi  
0                       4.7                2.4  Ariege  
1                       5.6                0.0  Ariege  
2                       7.7                0.0  Ariege  
3                      -0.2               12.5  Ariege  
4                       0.2                0.3  Ariege  
5                       5.3                0.0  Ariege  
6                      12.0                0.9  Ariege  ",29.857142857142858,5.042857142857143,13.757142857142858,16.1,0.1998876140751445,1.8789435723063583
30,Toulouse,35738,True,43.6044638,1.4442433,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            80                      17.7   
1  2025-10-31             3                      19.5   
2  2025-11-01             3                      22.6   
3  2025-11-02            61                      16.1   
4  2025-11-03             3                      13.9   
5  2025-11-04             3                      17.1   
6  2025-11-05            61                      19.6   

   apparent_temperature_min  precipitation_sum       poi  
0                      12.1                0.0  Toulouse  
1                      11.8                0.0  Toulouse  
2                      14.2                0.0  Toulouse  
3                       9.7                4.2  Toulouse  
4                       6.8                0.0  Toulouse  
5                       5.4                0.0  Toulouse  
6                      14.7                1.3  Toulouse  ",30.571428571428573,10.671428571428569,18.071428571428573,5.5,0.5769498103804866,8.291592989182421
31,Montauban,137735,True,44.0175835,1.3549991,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            45                      17.6   
1  2025-10-31            45                      21.6   
2  2025-11-01            80                      22.2   
3  2025-11-02            80                      16.3   
4  2025-11-03            45                      14.0   
5  2025-11-04             3                      18.0   
6  2025-11-05            61                      20.3   

   apparent_temperature_min  precipitation_sum        poi  
0                       9.1                0.0  Montauban  
1                       8.2                0.0  Montauban  
2                      11.2                0.6  Montauban  
3                      10.3                8.5  Montauban  
4                       5.5                0.0  Montauban  
5                       2.7                0.0  Montauban  
6                      11.5                2.1  Montauban  ",51.285714285714285,8.357142857142858,18.571428571428573,11.2,0.3262797946230395,4.393124377603068
32,Biarritz,4615703,True,43.4711438,-1.5527266,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            51                      20.8   
1  2025-10-31             3                      19.9   
2  2025-11-01            63                      19.8   
3  2025-11-02            61                      14.5   
4  2025-11-03            80                      15.0   
5  2025-11-04            80                      19.6   
6  2025-11-05            61                      20.4   

   apparent_temperature_min  precipitation_sum       poi  
0                      14.4                0.1  Biarritz  
1                      13.5                0.0  Biarritz  
2                      13.8               11.7  Biarritz  
3                       9.9                7.1  Biarritz  
4                       9.6                2.1  Biarritz  
5                      13.5                3.9  Biarritz  
6                      17.5                4.3  Biarritz  ",57.0,13.171428571428573,18.571428571428573,29.2,0.05393368730035602,0.8560046655813649
33,Bayonne,166713,True,43.4945144,-1.4736657,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            53                      20.6   
1  2025-10-31             3                      21.1   
2  2025-11-01            63                      20.0   
3  2025-11-02            55                      14.2   
4  2025-11-03            80                      15.6   
5  2025-11-04            80                      20.2   
6  2025-11-05            61                      21.0   

   apparent_temperature_min  precipitation_sum      poi  
0                      13.6                1.1  Bayonne  
1                      10.6                0.0  Bayonne  
2                      14.3               14.8  Bayonne  
3                       9.6                4.5  Bayonne  
4                      10.8                2.2  Bayonne  
5                      14.1                3.9  Bayonne  
6                      18.2                4.3  Bayonne  ",56.42857142857143,13.028571428571428,18.957142857142856,30.799999999999997,0.045959256649044225,0.7350198259800715
34,La Rochelle,117858,True,46.159732,-1.1515951,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      14.5   
1  2025-10-31            61                      16.4   
2  2025-11-01            61                      14.6   
3  2025-11-02            61                      12.2   
4  2025-11-03             2                      14.0   
5  2025-11-04            80                      15.0   
6  2025-11-05            80                      16.6   

   apparent_temperature_min  precipitation_sum          poi  
0                       6.9                0.0  La Rochelle  
1                       9.9                1.8  La Rochelle  
2                      11.0                7.9  La Rochelle  
3                       8.3                7.0  La Rochelle  
4                       9.9                0.0  La Rochelle  
5                       7.1                3.0  La Rochelle  
6                      14.2                5.1  La Rochelle  ",49.714285714285715,9.614285714285714,14.757142857142858,24.800000000000004,0.08374322559219592,1.0204710204306162
