,nom,id,france,latitude,longitude,weather,nice
20,Marseille,76469,True,43.2961743,5.3699525,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            63                      22.6   
1  2025-10-23             3                      23.1   
2  2025-10-24             3                      15.1   
3  2025-10-25            51                      15.7   
4  2025-10-26             3                      11.6   
5  2025-10-27             2                      12.8   
6  2025-10-28             3                      13.1   

   apparent_temperature_min  precipitation_sum        poi  
0                      17.6                2.7  Marseille  
1                      10.4                0.0  Marseille  
2                       9.9                0.0  Marseille  
3                      10.1                0.4  Marseille  
4                       6.1                0.0  Marseille  
5                       5.5                0.0  Marseille  
6                       9.9                0.0  Marseille  ",18.285714285714285
21,Aix en Provence,70279,True,43.5298424,5.4474738,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      20.0   
1  2025-10-23            80                      18.2   
2  2025-10-24             3                      12.6   
3  2025-10-25             3                      11.7   
4  2025-10-26             3                       8.8   
5  2025-10-27             2                      10.9   
6  2025-10-28             3                      11.0   

   apparent_temperature_min  precipitation_sum              poi  
0                      15.9                2.8  Aix en Provence  
1                       6.8                4.1  Aix en Provence  
2                       5.5                0.0  Aix en Provence  
3                       8.6                0.0  Aix en Provence  
4                       3.8                0.0  Aix en Provence  
5                       1.2                0.0  Aix en Provence  
6                       8.0                0.0  Aix en Provence  ",24.857142857142858
22,Avignon,102478,True,43.9492493,4.8059012,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      21.4   
1  2025-10-23            96                      19.9   
2  2025-10-24             3                      15.2   
3  2025-10-25            45                      15.0   
4  2025-10-26             3                      10.5   
5  2025-10-27             2                      11.7   
6  2025-10-28             2                      14.8   

   apparent_temperature_min  precipitation_sum      poi  
0                      15.6               15.3  Avignon  
1                       9.9               13.8  Avignon  
2                       7.6                0.0  Avignon  
3                       8.1                0.0  Avignon  
4                       5.6                0.0  Avignon  
5                       4.2                0.0  Avignon  
6                       4.7                0.0  Avignon  ",33.0
23,Uzes,380050,True,44.0121279,4.4196718,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      20.8   
1  2025-10-23            80                      18.1   
2  2025-10-24             3                      14.3   
3  2025-10-25             3                      12.9   
4  2025-10-26             3                       9.5   
5  2025-10-27             3                      13.5   
6  2025-10-28            45                      15.7   

   apparent_temperature_min  precipitation_sum   poi  
0                      15.6               15.5  Uzes  
1                       8.6                8.4  Uzes  
2                       5.8                0.0  Uzes  
3                       8.0                0.0  Uzes  
4                       4.7                0.0  Uzes  
5                       3.2                0.0  Uzes  
6                       5.8                0.0  Uzes  ",31.0
24,Nimes,378685,True,43.8374249,4.3600687,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      21.3   
1  2025-10-23            80                      18.9   
2  2025-10-24             3                      14.9   
3  2025-10-25             3                      14.3   
4  2025-10-26             3                      10.5   
5  2025-10-27             3                      14.0   
6  2025-10-28             2                      16.1   

   apparent_temperature_min  precipitation_sum    poi  
0                      16.3                8.7  Nimes  
1                      10.3                7.2  Nimes  
2                       8.4                0.0  Nimes  
3                       8.8                0.0  Nimes  
4                       6.2                0.0  Nimes  
5                       4.9                0.0  Nimes  
6                       7.6                0.0  Nimes  ",24.857142857142858
25,Aigues Mortes,272287,True,43.5661521,4.19154,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      22.0   
1  2025-10-23            80                      20.3   
2  2025-10-24             3                      14.6   
3  2025-10-25             3                      14.0   
4  2025-10-26             3                      11.8   
5  2025-10-27             3                      13.4   
6  2025-10-28             3                      16.5   

   apparent_temperature_min  precipitation_sum            poi  
0                      18.0                0.8  Aigues Mortes  
1                       9.9                6.0  Aigues Mortes  
2                       9.1                0.0  Aigues Mortes  
3                      10.8                0.0  Aigues Mortes  
4                       7.6                0.0  Aigues Mortes  
5                       6.4                0.0  Aigues Mortes  
6                      10.0                0.0  Aigues Mortes  ",25.0
26,Saintes Maries de la mer,414459,True,43.4515922,4.4277202,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            51                      20.8   
1  2025-10-23            51                      21.2   
2  2025-10-24             3                      15.3   
3  2025-10-25            51                      15.7   
4  2025-10-26             3                      12.1   
5  2025-10-27             3                      13.4   
6  2025-10-28             3                      16.5   

   apparent_temperature_min  precipitation_sum                       poi  
0                      17.9                0.1  Saintes Maries de la mer  
1                       8.6                0.5  Saintes Maries de la mer  
2                       9.3                0.0  Saintes Maries de la mer  
3                      11.6                0.2  Saintes Maries de la mer  
4                       7.1                0.0  Saintes Maries de la mer  
5                       5.6                0.0  Saintes Maries de la mer  
6                      10.0                0.0  Saintes Maries de la mer  ",23.571428571428573
27,Collioure,18409,True,42.52505,3.0831554,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22             3                      25.1   
1  2025-10-23            53                      18.9   
2  2025-10-24             3                      16.5   
3  2025-10-25            61                      18.1   
4  2025-10-26            61                      13.8   
5  2025-10-27             3                      15.1   
6  2025-10-28             3                      17.0   

   apparent_temperature_min  precipitation_sum        poi  
0                      17.1                0.0  Collioure  
1                       9.8                0.5  Collioure  
2                       9.9                0.0  Collioure  
3                      12.5                3.2  Collioure  
4                       5.3               13.5  Collioure  
5                       6.4                0.0  Collioure  
6                      11.5                0.0  Collioure  ",26.714285714285715
28,Carcassonne,37774,True,43.2130358,2.3491069,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            53                      23.8   
1  2025-10-23            63                      16.7   
2  2025-10-24            51                      16.0   
3  2025-10-25            51                      12.5   
4  2025-10-26            51                       9.8   
5  2025-10-27             3                      11.4   
6  2025-10-28             3                      15.3   

   apparent_temperature_min  precipitation_sum          poi  
0                      14.6                1.7  Carcassonne  
1                       8.5                8.2  Carcassonne  
2                       8.9                0.4  Carcassonne  
3                       9.6                0.6  Carcassonne  
4                       5.1                0.6  Carcassonne  
5                       5.9                0.3  Carcassonne  
6                      10.2                0.0  Carcassonne  ",39.285714285714285
29,Ariege,7439,True,42.9455368,1.4065544,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            61                      14.6   
1  2025-10-23            63                      11.0   
2  2025-10-24            55                       6.8   
3  2025-10-25            63                       6.4   
4  2025-10-26            73                       3.4   
5  2025-10-27            80                       8.2   
6  2025-10-28            45                      11.7   

   apparent_temperature_min  precipitation_sum     poi  
0                       7.9                3.3  Ariege  
1                      -1.2               13.3  Ariege  
2                      -0.6                5.0  Ariege  
3                       3.4                9.0  Ariege  
4                      -1.5               24.4  Ariege  
5                       3.0                3.0  Ariege  
6                       4.6                0.3  Ariege  ",62.857142857142854
30,Toulouse,35738,True,43.6044638,1.4442433,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            95                      23.2   
1  2025-10-23            63                      18.5   
2  2025-10-24            61                      14.2   
3  2025-10-25            80                      13.2   
4  2025-10-26            80                      10.2   
5  2025-10-27             3                      12.7   
6  2025-10-28             3                      16.4   

   apparent_temperature_min  precipitation_sum       poi  
0                      15.6               11.1  Toulouse  
1                      10.8               16.8  Toulouse  
2                      11.0                0.3  Toulouse  
3                      10.2                0.9  Toulouse  
4                       7.7                1.2  Toulouse  
5                       7.8                0.9  Toulouse  
6                      11.3                0.0  Toulouse  ",55.0
31,Montauban,137735,True,44.0175835,1.3549991,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            95                      22.1   
1  2025-10-23            63                      17.9   
2  2025-10-24            80                      13.4   
3  2025-10-25            80                      13.4   
4  2025-10-26             3                       9.9   
5  2025-10-27            61                      12.7   
6  2025-10-28            45                      15.9   

   apparent_temperature_min  precipitation_sum        poi  
0                      15.6               20.4  Montauban  
1                      10.2               13.7  Montauban  
2                      10.4                0.3  Montauban  
3                      10.2                1.1  Montauban  
4                       7.4                1.8  Montauban  
5                       7.7                0.9  Montauban  
6                      10.6                0.0  Montauban  ",61.0
32,Biarritz,166717,True,43.4832523,-1.5592776,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            63                      24.9   
1  2025-10-23            63                      21.1   
2  2025-10-24            61                      15.9   
3  2025-10-25            55                      15.6   
4  2025-10-26            80                      13.3   
5  2025-10-27            80                      15.5   
6  2025-10-28            80                      17.4   

   apparent_temperature_min  precipitation_sum       poi  
0                      18.7                7.0  Biarritz  
1                       6.8               13.3  Biarritz  
2                      11.1                5.4  Biarritz  
3                      11.9                4.5  Biarritz  
4                       8.8               13.2  Biarritz  
5                      11.8                9.6  Biarritz  
6                      15.6                4.2  Biarritz  ",68.85714285714286
33,Bayonne,166713,True,43.4945144,-1.4736657,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            65                      25.9   
1  2025-10-23            63                      21.9   
2  2025-10-24            63                      16.6   
3  2025-10-25            55                      15.7   
4  2025-10-26            80                      13.4   
5  2025-10-27            80                      15.6   
6  2025-10-28            80                      17.5   

   apparent_temperature_min  precipitation_sum      poi  
0                      18.2               10.0  Bayonne  
1                      10.6               17.4  Bayonne  
2                      12.2               11.8  Bayonne  
3                      12.0                4.5  Bayonne  
4                       8.9               13.2  Bayonne  
5                      11.9                9.6  Bayonne  
6                      15.8                4.2  Bayonne  ",69.42857142857143
34,La Rochelle,117858,True,46.159732,-1.1515951,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            63                      18.0   
1  2025-10-23            63                      15.3   
2  2025-10-24            61                      12.7   
3  2025-10-25            53                      11.4   
4  2025-10-26             3                       9.1   
5  2025-10-27            80                      12.6   
6  2025-10-28            80                      14.7   

   apparent_temperature_min  precipitation_sum          poi  
0                      14.1               18.5  La Rochelle  
1                       4.7               19.1  La Rochelle  
2                       8.8               10.3  La Rochelle  
3                       8.8                4.2  La Rochelle  
4                       5.6                0.0  La Rochelle  
5                       8.8                1.8  La Rochelle  
6                      12.0                1.5  La Rochelle  ",57.57142857142857
